Application Name,Respondent Role,Rating,Comment,Date,Sentiment
Integrated Complaint Tracking v1,Executive,4,Impressed with the functionality and ease of use,2025-09-30,Positive
Incident Reporting,Team Lead,5,Impressed with the functionality and ease of use,2025-11-06,Positive
Identity Management,End User,2,"Loading times are ridiculous, kills productivity",2025-10-30,Negative
Help Desk,Administrator,1,"Too many bugs, feels like it's never been tested",2025-07-26,Negative
Data Warehouse Tool,Team Lead,2,Overpriced and underperforming,2025-07-19,Negative
Human Resources Benefits Administration,Director,1,Needs major feature updates to be useful,2025-09-13,Negative
Benefits Administration System v1,Executive,3,"It works fine, does what it needs to do",2025-07-01,Neutral
Revenue Collection Platform v2,Department Manager,2,Complete disaster - retire it now,2025-11-08,Negative
Finance Grant Management,Executive,1,Horrible experience every time I have to use it,2025-06-23,Negative
IT Network Monitoring Classic,Administrator,1,Clunky interface makes simple tasks take forever,2025-06-23,Negative
Backup System,Supervisor,3,"Basic functionality works, missing some features",2025-07-09,Neutral
Budget Management System,Team Lead,3,Middle of the road - neither good nor bad,2025-11-02,Neutral
Budget Management Tool Classic,End User,3,"It's fine, no major issues",2025-08-23,Neutral
Integrated Compliance Tracking Pro,Executive,3,Functional but a bit outdated,2025-09-23,Neutral
Fleet Management,IT Staff,2,Lacks essential functionality for our work,2025-05-25,Negative
Integrated Complaint Tracking v1,IT Staff,4,Clean interface and powerful features,2025-08-23,Positive
Citizen Services Case Management Classic,Support Staff,2,Way too complicated for what it should do,2025-10-24,Negative
Integrated Training,Director,5,This application works great and has everything we need,2025-11-03,Positive
Investigation Management Platform,Department Manager,1,"Loading times are ridiculous, kills productivity",2025-11-04,Negative
Document Management Platform,Supervisor,1,"Constantly broken, always reporting issues",2025-08-22,Negative
Permit System Tool,Business Analyst,1,"Absolutely hate this system, it's awful",2025-11-13,Negative
Investigation Management Platform Enterprise,Executive,2,"Unnecessarily complex, needs complete redesign",2025-10-24,Negative
Financial System (Old),Department Manager,1,Missing basic features we desperately need,2025-07-19,Negative
Benefits Administration System v1,Team Lead,3,Works okay most of the time,2025-09-28,Neutral
Digital Signatures Platform,Business Analyst,2,Confusing workflow that makes no sense,2025-07-17,Negative
Integrated Work Order,Team Lead,2,"System goes down frequently, can't count on it",2025-06-01,Negative
Revenue Collection,Business Analyst,4,Great application - modern interface and reliable performance,2025-06-30,Positive
Benefits Administration,Business Analyst,4,Appreciate how reliable and fast this is,2025-06-11,Positive
Incident Reporting System Pro,Director,1,Waste of money - should retire this immediately,2025-05-24,Negative
Public Safety Investigation Management v1,IT Staff,5,Clean interface and powerful features,2025-06-02,Positive
Case Management System v2,Support Staff,2,Not worth the cost - should find cheaper alternative,2025-09-07,Negative
Training Platform,Team Lead,1,"Takes 5+ minutes just to log in, completely unacceptable",2025-08-02,Negative
Permit System Tool,Support Staff,4,Solid application that just works,2025-06-05,Positive
Backup System Tool,Administrator,5,Excellent tool that has significantly improved our workflow,2025-11-05,Positive
IT Identity Management,End User,3,Serviceable but not ideal,2025-10-13,Neutral
Revenue Collection Classic,Supervisor,2,"Loading times are ridiculous, kills productivity",2025-05-25,Negative
Budget Management Platform Plus,Executive,3,"Average tool, meets minimum requirements",2025-09-18,Neutral
Fleet Management Plus,Business Analyst,2,"System goes down frequently, can't count on it",2025-10-07,Negative
Service Request System v1,Business Analyst,3,"Average tool, meets minimum requirements",2025-06-16,Neutral
Backup System Tool,Administrator,4,Impressed with the functionality and ease of use,2025-08-10,Positive
Facility Management System Classic,Support Staff,1,Functionality is bare-bones and inadequate,2025-07-10,Negative
Fleet Management,Department Manager,3,Middle of the road - neither good nor bad,2025-10-21,Neutral
Service Request Tool,Director,1,Way too expensive for what little value it provides,2025-10-19,Negative
Content Management Tool,Director,3,Could use some improvements but manageable,2025-06-12,Neutral
Integrated Revenue Collection,Business Analyst,1,"Terrible application, looking for replacement ASAP",2025-10-04,Negative
Revenue Collection Platform v2,Executive,5,Clean interface and powerful features,2025-07-07,Positive
Operations Inventory,Team Lead,3,"It's fine, no major issues",2025-10-19,Neutral
Complaint Tracking (New),Supervisor,5,Solid application that just works,2025-09-16,Positive
Integrated Project Management v2,Support Staff,5,Clean interface and powerful features,2025-08-25,Positive
Public Portal Tool,Department Manager,3,"Average tool, meets minimum requirements",2025-07-13,Neutral
Procurement Tool Pro,End User,1,"System goes down frequently, can't count on it",2025-06-10,Negative
Reporting Dashboard,IT Staff,4,Outstanding tool that delivers real value,2025-07-22,Positive
Citizen Services Case Management Pro,Team Lead,5,Solid application that just works,2025-09-13,Positive
IT Identity Management,End User,1,Waste of money - should retire this immediately,2025-09-08,Negative
Facility Management System Classic,Business Analyst,4,Great application - modern interface and reliable performance,2025-10-24,Positive
Reporting Dashboard,IT Staff,1,Horrible experience every time I have to use it,2025-06-24,Negative
Integrated Case Management,Support Staff,3,"Gets the job done, nothing special",2025-05-29,Neutral
Performance Management Platform,IT Staff,3,Could use some improvements but manageable,2025-05-30,Neutral
311 System Platform,Business Analyst,3,"It works fine, does what it needs to do",2025-09-28,Neutral
Benefits Administration,End User,3,Could use some improvements but manageable,2025-10-09,Neutral
Asset Inventory System,Supervisor,2,Downtime is unacceptable for a critical system,2025-09-14,Negative
Citizen Services Case Management Pro,Director,3,"Average tool, meets minimum requirements",2025-09-26,Neutral
Help Desk,Administrator,3,"Gets the job done, nothing special",2025-11-13,Neutral
Budget Management (Old),Administrator,1,"Very difficult to navigate, poor user experience",2025-07-08,Negative
Integrated Budget Management,End User,1,System is painfully slow and frequently times out,2025-06-22,Negative
Citizen Services Case Management Classic,Support Staff,1,"Nightmare to use, causes daily frustration",2025-07-20,Negative
Financial System (Old),End User,3,Serviceable but not ideal,2025-08-20,Neutral
Human Resources Recruitment,Executive,3,Works okay most of the time,2025-05-28,Neutral
Integrated Fleet Management,Business Analyst,3,It works but feels dated,2025-06-25,Neutral
Incident Reporting System,End User,2,Way too complicated for what it should do,2025-11-10,Negative
Investigation Management Platform,Business Analyst,2,User interface from the 1990s - desperately needs update,2025-06-05,Negative
Backup System,IT Staff,3,Middle of the road - neither good nor bad,2025-06-26,Neutral
Finance Budget Management Enterprise,Support Staff,1,"Terrible application, looking for replacement ASAP",2025-11-12,Negative
Document Management Tool v1,End User,1,System is painfully slow and frequently times out,2025-06-25,Negative
Compliance Data Warehouse,Support Staff,5,Clean interface and powerful features,2025-08-09,Positive
Email System Tool,Administrator,4,Love this system! It's intuitive and fast,2025-06-10,Positive
Budget Management Platform Plus,Administrator,1,Costs too much for how rarely we use it,2025-10-03,Negative
Asset Management System (Old),Business Analyst,4,Great application - modern interface and reliable performance,2025-07-27,Positive
Complaint Tracking Platform,Executive,4,Excellent tool that has significantly improved our workflow,2025-09-11,Positive
Help Desk,Director,2,Outdated - doesn't integrate with anything modern,2025-06-12,Negative
Compliance Data Warehouse,IT Staff,2,Needs major feature updates to be useful,2025-10-24,Negative
Revenue Collection Classic,Supervisor,1,Clunky interface makes simple tasks take forever,2025-07-21,Negative
Procurement,Supervisor,2,Waste of money - should retire this immediately,2025-11-16,Negative
Asset Inventory Tool v1,Business Analyst,2,Missing basic features we desperately need,2025-06-07,Negative
Grant Management Platform,Executive,2,Confusing workflow that makes no sense,2025-10-11,Negative
Integrated Backup System Pro,Department Manager,2,"System goes down frequently, can't count on it",2025-05-27,Negative
Case Management System v2,Team Lead,4,Love this system! It's intuitive and fast,2025-05-23,Positive
Benefits Administration,Support Staff,2,Horrible experience every time I have to use it,2025-08-09,Negative
Identity Management,Director,1,Interface is confusing and not intuitive at all,2025-06-24,Negative
Public Portal System,Executive,5,Outstanding tool that delivers real value,2025-06-05,Positive
Finance Budget Management Enterprise,Administrator,3,"It works fine, does what it needs to do",2025-06-07,Neutral
Integrated Accounts Payable,IT Staff,1,Overpriced and underperforming,2025-10-11,Negative
Performance Management Platform,Department Manager,5,"Fantastic system, makes my job much easier",2025-09-22,Positive
Facility Management System Classic,Department Manager,3,"Acceptable for now, considering alternatives",2025-10-24,Neutral
Compliance Data Warehouse,Business Analyst,3,Middle of the road - neither good nor bad,2025-08-26,Neutral
Accounts Payable Tool Classic,Business Analyst,1,Missing basic features we desperately need,2025-07-17,Negative
Integrated Training,Department Manager,4,This application works great and has everything we need,2025-10-27,Positive
Integrated Case Management Pro,End User,4,"Works perfectly, no complaints whatsoever",2025-10-29,Positive
Identity Management,Team Lead,3,"It's fine, no major issues",2025-10-15,Neutral
Integrated Document Management,Director,1,"Absolutely hate this system, it's awful",2025-09-07,Negative
Public Safety Investigation Management,Support Staff,3,Not great but not terrible either,2025-07-08,Neutral
Public Portal System,Support Staff,2,Waste of money - should retire this immediately,2025-08-25,Negative
Backup System Tool,Support Staff,1,"Terrible application, looking for replacement ASAP",2025-11-02,Negative
Integrated Training,Executive,3,Does the basic functions we need,2025-09-15,Neutral
Public Safety Investigation Management v1,Business Analyst,2,"Terrible application, looking for replacement ASAP",2025-09-25,Negative
Incident Reporting System Pro,Director,3,"Average tool, meets minimum requirements",2025-10-01,Neutral
Asset Inventory Tool v1,Administrator,3,"It's fine, no major issues",2025-08-14,Neutral
Investigation Management Platform Enterprise,Supervisor,3,"It works fine, does what it needs to do",2025-08-27,Neutral
Permit System Tool,End User,3,"Basic functionality works, missing some features",2025-06-07,Neutral
Facility Management System,Supervisor,3,Adequate for our needs but could be better,2025-07-28,Neutral
Grant Management Platform,Administrator,3,"Average tool, meets minimum requirements",2025-11-13,Neutral
Inventory Tool,Team Lead,3,Serviceable but not ideal,2025-06-09,Neutral
Integrated Complaint Tracking v1,IT Staff,5,Solid application that just works,2025-05-27,Positive
Investigation Management Platform Enterprise,Support Staff,3,It works but feels dated,2025-08-04,Neutral
Budget Management Tool (New),IT Staff,5,Excellent tool that has significantly improved our workflow,2025-11-01,Positive
Budget Management Platform Plus,Director,3,"It's fine, no major issues",2025-08-17,Neutral
Accounts Payable Tool,Executive,3,Serviceable but not ideal,2025-10-03,Neutral
Financial System (Old),Administrator,1,Way too complicated for what it should do,2025-08-04,Negative
Service Request Tool,Executive,3,Functional but a bit outdated,2025-10-14,Neutral
Help Desk System,Administrator,4,Clean interface and powerful features,2025-07-22,Positive
Finance Grant Management,Director,2,Not worth the cost - should find cheaper alternative,2025-06-24,Negative
Content Management Platform,Executive,3,"Average tool, meets minimum requirements",2025-10-27,Neutral
Integrated Case Management Pro,Team Lead,4,Solid application that just works,2025-07-30,Positive
Training,End User,5,Impressed with the functionality and ease of use,2025-06-13,Positive
Grant Management,Director,5,"Really helpful tool, very user-friendly",2025-10-11,Positive
Employee Portal Tool,Team Lead,1,Clunky interface makes simple tasks take forever,2025-05-29,Negative
Operations Inventory,Administrator,5,Clean interface and powerful features,2025-06-21,Positive
Public Safety Emergency Dispatch,Director,4,Great application - modern interface and reliable performance,2025-07-25,Positive
Integrated 311 System,Support Staff,5,This application works great and has everything we need,2025-07-12,Positive
Accounts Payable Tool,Supervisor,4,Clean interface and powerful features,2025-07-12,Positive
Integrated Email Archive Enterprise,IT Staff,2,"Can't do half of what we need, very limited",2025-07-30,Negative
Audit Management Platform,IT Staff,3,"It works fine, does what it needs to do",2025-10-21,Neutral
VPN Tool,Department Manager,5,Impressed with the functionality and ease of use,2025-08-25,Positive
Identity Management Platform Pro,IT Staff,2,Missing basic features we desperately need,2025-07-28,Negative
Performance Management Tool v1,Support Staff,3,Could use some improvements but manageable,2025-06-16,Neutral
Records Management Email Archive,IT Staff,4,Excellent tool that has significantly improved our workflow,2025-09-22,Positive
Benefits Administration,Business Analyst,3,Middle of the road - neither good nor bad,2025-09-25,Neutral
Integrated Inventory,Support Staff,4,Impressed with the functionality and ease of use,2025-08-10,Positive
Work Order System,Support Staff,4,Best application we have - couldn't do without it,2025-09-04,Positive
GIS Mapping System,Supervisor,3,Middle of the road - neither good nor bad,2025-09-01,Neutral
Human Resources Training (Old),Administrator,5,Outstanding tool that delivers real value,2025-08-14,Positive
Human Resources Benefits Administration Enterprise,Executive,3,"It's fine, no major issues",2025-07-21,Neutral
Public Portal Tool,Department Manager,5,Very efficient and well-designed,2025-10-11,Positive
Integrated Payroll,Business Analyst,2,Confusing workflow that makes no sense,2025-05-29,Negative
Integrated Evidence Tracking,Executive,2,Interface is confusing and not intuitive at all,2025-07-04,Negative
IT Identity Management Plus,Department Manager,1,Confusing workflow that makes no sense,2025-11-09,Negative
Integrated Backup System,Support Staff,2,Waste of money - should retire this immediately,2025-07-17,Negative
Performance Management Tool Plus,Team Lead,3,Middle of the road - neither good nor bad,2025-05-23,Neutral
Fleet Management,Director,1,Confusing workflow that makes no sense,2025-08-24,Negative
Budget Management,Executive,5,"Fantastic system, makes my job much easier",2025-11-17,Positive
Integrated Evidence Tracking,Supervisor,1,"Too many bugs, feels like it's never been tested",2025-10-10,Negative
Integrated Training,Supervisor,3,"It's fine, no major issues",2025-09-28,Neutral
Grant Management Platform,Administrator,1,Interface is confusing and not intuitive at all,2025-07-29,Negative
Asset Management System,Business Analyst,1,Worst application in our portfolio,2025-08-29,Negative
Budget Management Platform Plus,Team Lead,2,"Nightmare to use, causes daily frustration",2025-09-17,Negative
Service Request Tool,Administrator,2,"Very difficult to navigate, poor user experience",2025-11-01,Negative
Grant Management,Business Analyst,3,It works but feels dated,2025-09-14,Neutral
Reporting Dashboard,Supervisor,5,Very efficient and well-designed,2025-10-20,Positive
Human Resources Benefits Administration,Executive,3,Middle of the road - neither good nor bad,2025-09-25,Neutral
Integrated Case Management Pro,End User,5,Best application we have - couldn't do without it,2025-10-06,Positive
Reporting Dashboard,Executive,4,Clean interface and powerful features,2025-06-30,Positive
VPN,IT Staff,2,Way too expensive for what little value it provides,2025-11-12,Negative
Fleet Management,Administrator,5,Appreciate how reliable and fast this is,2025-06-24,Positive
Accounts Payable Tool,IT Staff,5,Clean interface and powerful features,2025-11-09,Positive
Investigation Management Tool,Team Lead,5,Outstanding tool that delivers real value,2025-08-26,Positive
Budget Management Tool (New),Business Analyst,2,Waste of money - should retire this immediately,2025-06-18,Negative
Integrated Grant Management,Supervisor,5,Love this system! It's intuitive and fast,2025-06-10,Positive
Integrated Case Management Pro,Business Analyst,4,Outstanding tool that delivers real value,2025-06-06,Positive
Content Management Platform Pro,Support Staff,4,Excellent tool that has significantly improved our workflow,2025-08-08,Positive
IT Identity Management,Administrator,3,Functional but a bit outdated,2025-06-28,Neutral
Human Resources Time & Attendance,Director,2,"Nightmare to use, causes daily frustration",2025-08-09,Negative
Case Management Platform,Executive,3,It works but feels dated,2025-06-20,Neutral
Document Management System,IT Staff,1,Complete disaster - retire it now,2025-08-24,Negative
Public Portal Tool,End User,3,"Average tool, meets minimum requirements",2025-07-18,Neutral
Public Safety Emergency Dispatch,IT Staff,3,Adequate for our needs but could be better,2025-08-14,Neutral
Complaint Tracking System,Team Lead,5,"Works perfectly, no complaints whatsoever",2025-07-09,Positive
Grant Management,Administrator,3,"Gets the job done, nothing special",2025-06-01,Neutral
Citizen Services Service Request,Department Manager,3,"It's fine, no major issues",2025-05-27,Neutral
Work Order Tool,Business Analyst,3,"Acceptable for now, considering alternatives",2025-06-01,Neutral
Performance Management Tool v1,Department Manager,3,"Average tool, meets minimum requirements",2025-07-29,Neutral
Incident Reporting,IT Staff,5,Love this system! It's intuitive and fast,2025-07-28,Positive
Public Safety Investigation Management,Team Lead,2,"Freezes constantly, have to restart multiple times daily",2025-06-16,Negative
Email Archive System,Business Analyst,2,Confusing workflow that makes no sense,2025-06-07,Negative
Investigation Management System,Executive,4,Excellent tool that has significantly improved our workflow,2025-11-10,Positive
Analytics Platform,Supervisor,4,Love this system! It's intuitive and fast,2025-05-26,Positive
Integrated License Management,Team Lead,3,Works okay most of the time,2025-10-22,Neutral
311 System Platform,Executive,3,Middle of the road - neither good nor bad,2025-08-08,Neutral
Benefits Administration,Supervisor,3,Could use some improvements but manageable,2025-06-26,Neutral
Integrated Complaint Tracking v1,Team Lead,3,Not great but not terrible either,2025-09-11,Neutral
Integrated Accounts Payable,Team Lead,2,Frequent errors and unexpected behavior,2025-11-14,Negative
Integrated Project Management v2,Support Staff,3,"Average tool, meets minimum requirements",2025-10-30,Neutral
Records Management Email Archive,Business Analyst,5,Love this system! It's intuitive and fast,2025-10-11,Positive
Integrated Grant Management,Support Staff,5,Very efficient and well-designed,2025-06-23,Positive
IT Identity Management Plus,Administrator,2,Way too complicated for what it should do,2025-09-07,Negative
Citizen Services Case Management Pro,Support Staff,1,Horrible experience every time I have to use it,2025-08-13,Negative
Content Management Platform,Team Lead,1,Needs major feature updates to be useful,2025-10-24,Negative
Service Request Tool,Supervisor,1,Interface is confusing and not intuitive at all,2025-10-03,Negative
Investigation Management,Director,2,Complete disaster - retire it now,2025-08-08,Negative
Public Safety Emergency Dispatch (Old),Team Lead,1,"Nightmare to use, causes daily frustration",2025-08-18,Negative
311 System Platform,IT Staff,5,Love this system! It's intuitive and fast,2025-09-11,Positive
Incident Reporting System,Team Lead,1,"Terrible application, looking for replacement ASAP",2025-06-13,Negative
Emergency Dispatch Platform,Support Staff,4,Best application we have - couldn't do without it,2025-10-27,Positive
Document Management Tool,Executive,2,"Performance is terrible, constantly laggy",2025-08-22,Negative
Citizen Services Case Management Classic,Support Staff,3,Functional but a bit outdated,2025-07-30,Neutral
Complaint Tracking Tool Plus,Support Staff,1,Complete disaster - retire it now,2025-07-12,Negative
Email Archive System,Team Lead,1,"Too many bugs, feels like it's never been tested",2025-10-20,Negative
Integrated Fleet Management,Business Analyst,4,"Fantastic system, makes my job much easier",2025-08-16,Positive
Investigation Management,Executive,3,Works okay most of the time,2025-10-24,Neutral
Integrated Procurement,Team Lead,2,Missing basic features we desperately need,2025-07-27,Negative
Integrated Grant Management,Support Staff,1,"Nightmare to use, causes daily frustration",2025-07-01,Negative
Public Portal,Business Analyst,5,Very reliable and easy to use - saves us a lot of time,2025-07-28,Positive
Integrated Accounts Payable,IT Staff,3,It works but feels dated,2025-06-23,Neutral
Integrated Case Management Pro,Executive,5,Very reliable and easy to use - saves us a lot of time,2025-06-23,Positive
Citizen Services Case Management Pro,Executive,1,Worst application in our portfolio,2025-05-23,Negative
311 System Tool,End User,1,Missing basic features we desperately need,2025-08-01,Negative
Benefits Administration System Pro,Director,2,Overpriced and underperforming,2025-05-27,Negative
Integrated Case Management,Team Lead,1,"Unnecessarily complex, needs complete redesign",2025-08-15,Negative
GIS Mapping Tool Enterprise,Director,3,"Acceptable for now, considering alternatives",2025-09-25,Neutral
Investigation Management,Executive,3,"Gets the job done, nothing special",2025-05-31,Neutral
Integrated Case Management (New),Team Lead,3,Does the basic functions we need,2025-09-15,Neutral
Asset Inventory,Administrator,4,Very reliable and easy to use - saves us a lot of time,2025-05-24,Positive
Incident Reporting System Pro,Supervisor,2,Interface is confusing and not intuitive at all,2025-10-12,Negative
Fleet Management System,End User,2,Needs major feature updates to be useful,2025-08-13,Negative
Investigation Management Platform Enterprise,Department Manager,5,Outstanding tool that delivers real value,2025-08-06,Positive
Integrated Case Management Pro,Business Analyst,4,"Fantastic system, makes my job much easier",2025-06-06,Positive
Service Request System,IT Staff,3,"Average tool, meets minimum requirements",2025-10-24,Neutral
Accounts Payable Tool Classic,Department Manager,1,Confusing workflow that makes no sense,2025-08-28,Negative
Data Warehouse v1,Director,3,"Gets the job done, nothing special",2025-06-02,Neutral
Email System System,Director,4,Very efficient and well-designed,2025-10-12,Positive
Benefits Administration System,Department Manager,4,Love this system! It's intuitive and fast,2025-09-04,Positive
Asset Inventory Tool v1,IT Staff,3,Does the basic functions we need,2025-06-19,Neutral
Fleet Management Platform,Team Lead,5,Best application we have - couldn't do without it,2025-05-30,Positive
Integrated Audit Management,Director,3,"It works fine, does what it needs to do",2025-05-23,Neutral
Complaint Tracking Tool Plus,Executive,5,"Works perfectly, no complaints whatsoever",2025-11-15,Positive
311 System Platform,Supervisor,1,Overpriced and underperforming,2025-10-27,Negative
Public Portal Tool,Business Analyst,3,It works but feels dated,2025-07-02,Neutral
Service Request Tool,Director,3,Works okay most of the time,2025-07-05,Neutral
Integrated Procurement,Business Analyst,2,Way too complicated for what it should do,2025-11-10,Negative
Benefits Administration System,Supervisor,4,Great application - modern interface and reliable performance,2025-09-13,Positive
Finance Budget Management,End User,1,Extremely slow - takes forever to load anything,2025-08-13,Negative
Analytics Platform Tool,Supervisor,2,Costs too much for how rarely we use it,2025-11-02,Negative
Budget Management Tool Classic,Executive,3,"Gets the job done, nothing special",2025-11-03,Neutral
Integrated Case Management,End User,2,User interface from the 1990s - desperately needs update,2025-10-13,Negative
Service Request System v1,Team Lead,1,Frequent errors and unexpected behavior,2025-08-18,Negative
Human Resources HR Management Classic,Department Manager,1,Extremely slow - takes forever to load anything,2025-07-28,Negative
Human Resources Training (Old),Director,2,Clunky interface makes simple tasks take forever,2025-06-02,Negative
Case Management Platform v1,Executive,5,Clean interface and powerful features,2025-09-03,Positive
Complaint Tracking Platform,Team Lead,2,"Absolutely hate this system, it's awful",2025-06-17,Negative
Integrated Budget Management Classic,Supervisor,4,This application works great and has everything we need,2025-07-02,Positive
Integrated Case Management v1,Administrator,2,"Performance is terrible, constantly laggy",2025-09-25,Negative
Email Archive (New),Business Analyst,3,Not great but not terrible either,2025-08-23,Neutral
Benefits Administration,Department Manager,4,"Fantastic system, makes my job much easier",2025-07-21,Positive
Integrated Time & Attendance,Team Lead,1,Data integrity issues - can't trust the information,2025-08-08,Negative
IT Network Monitoring,Business Analyst,5,Very reliable and easy to use - saves us a lot of time,2025-08-21,Positive
Payroll,IT Staff,2,Budget drain with minimal return on investment,2025-08-26,Negative
Integrated 311 System,Administrator,4,Very efficient and well-designed,2025-06-05,Positive
Public Portal Platform,Supervisor,2,"Terrible application, looking for replacement ASAP",2025-10-25,Negative
Incident Reporting,Department Manager,4,Best application we have - couldn't do without it,2025-07-12,Positive
Human Resources Recruitment,Supervisor,2,"Nightmare to use, causes daily frustration",2025-09-08,Negative
Integrated Case Management (New),Director,2,"Terrible application, looking for replacement ASAP",2025-10-22,Negative
Complaint Tracking System,Executive,1,Overpriced and underperforming,2025-06-29,Negative
Benefits Administration System,Business Analyst,5,Love this system! It's intuitive and fast,2025-06-20,Positive
Citizen Services Service Request,Business Analyst,4,Appreciate how reliable and fast this is,2025-08-22,Positive
Benefits Administration Classic,Department Manager,2,"Nightmare to use, causes daily frustration",2025-06-01,Negative
Performance Management Tool Plus,Supervisor,3,"It works fine, does what it needs to do",2025-08-09,Neutral
Service Request,Supervisor,3,Works okay most of the time,2025-07-04,Neutral
Asset Inventory,Support Staff,4,"Really helpful tool, very user-friendly",2025-08-04,Positive
Integrated Email Archive Enterprise,Department Manager,4,"Works perfectly, no complaints whatsoever",2025-10-26,Positive
Human Resources Training,Support Staff,5,"Fantastic system, makes my job much easier",2025-08-17,Positive
Benefits Administration System v1,Supervisor,5,"Fantastic system, makes my job much easier",2025-08-14,Positive
Reporting Dashboard System,Department Manager,2,"System goes down frequently, can't count on it",2025-09-25,Negative
Facility Management System,Supervisor,3,Middle of the road - neither good nor bad,2025-09-21,Neutral
Investigation Management Platform Enterprise,IT Staff,2,Needs major feature updates to be useful,2025-08-08,Negative
Citizen Services Service Request,Department Manager,1,Worst application in our portfolio,2025-07-11,Negative
Facility Management System,Supervisor,5,"Fantastic system, makes my job much easier",2025-10-08,Positive
Content Management Platform,Business Analyst,3,"Gets the job done, nothing special",2025-09-04,Neutral
311 System Platform,Administrator,4,"Fantastic system, makes my job much easier",2025-06-18,Positive
Help Desk,Department Manager,1,Complete disaster - retire it now,2025-08-17,Negative
Integrated Revenue Collection,Director,3,Not great but not terrible either,2025-09-22,Neutral
311 System Platform,Administrator,3,"Average tool, meets minimum requirements",2025-06-09,Neutral
Investigation Management Tool,Director,3,"It's fine, no major issues",2025-06-13,Neutral
Human Resources Benefits Administration,Administrator,2,"Too many bugs, feels like it's never been tested",2025-08-15,Negative
Integrated Backup System,Executive,1,"Very difficult to navigate, poor user experience",2025-06-03,Negative
Financial System (Old),End User,5,Clean interface and powerful features,2025-10-08,Positive
Backup System,Team Lead,4,"Really helpful tool, very user-friendly",2025-06-02,Positive
Performance Management Tool Plus,Support Staff,3,Works okay most of the time,2025-10-20,Neutral
Compliance Tracking Tool,End User,1,Confusing workflow that makes no sense,2025-08-17,Negative
Investigation Management System,Department Manager,2,Confusing workflow that makes no sense,2025-09-14,Negative
Human Resources Benefits Administration Enterprise,Team Lead,3,Does the basic functions we need,2025-07-05,Neutral
Human Resources HR Management Classic,Support Staff,1,"Performance is terrible, constantly laggy",2025-06-07,Negative
Complaint Tracking System,Director,3,Adequate for our needs but could be better,2025-08-05,Neutral
Grant Management,Team Lead,4,Appreciate how reliable and fast this is,2025-07-16,Positive
Grant Management,Director,3,"It's fine, no major issues",2025-07-02,Neutral
GIS Mapping System (Old),Team Lead,4,Great application - modern interface and reliable performance,2025-10-21,Positive
Integrated Compliance Tracking,Director,3,Not great but not terrible either,2025-11-04,Neutral
Identity Management Platform Pro,Supervisor,3,Does the basic functions we need,2025-06-19,Neutral
Citizen Services Public Portal (New),Administrator,3,It works but feels dated,2025-11-07,Neutral
Budget Management Platform Plus,IT Staff,2,"Absolutely hate this system, it's awful",2025-06-16,Negative
Citizen Services Case Management,Director,3,Serviceable but not ideal,2025-11-11,Neutral
VPN,Supervisor,3,"Average tool, meets minimum requirements",2025-05-23,Neutral
Citizen Services Public Portal (New),Team Lead,1,Worst application in our portfolio,2025-10-04,Negative
Help Desk,Support Staff,1,"Freezes constantly, have to restart multiple times daily",2025-09-19,Negative
Finance Payroll v2,Executive,5,Great application - modern interface and reliable performance,2025-05-26,Positive
Financial System (Old),Support Staff,2,Lacks essential functionality for our work,2025-06-30,Negative
Employee Portal,Executive,2,"Absolutely hate this system, it's awful",2025-05-25,Negative
Asset Management System (Old),Director,1,Budget drain with minimal return on investment,2025-08-05,Negative
Benefits Administration,Business Analyst,5,Love this system! It's intuitive and fast,2025-06-08,Positive
Integrated Budget Management,Supervisor,2,Needs major feature updates to be useful,2025-08-02,Negative
Integrated Time & Attendance,Executive,3,Serviceable but not ideal,2025-09-03,Neutral
Complaint Tracking Tool Plus,Team Lead,3,It works but feels dated,2025-10-22,Neutral
Backup System Platform,Team Lead,5,Impressed with the functionality and ease of use,2025-09-14,Positive
Citizen Services Service Request,Supervisor,4,Very reliable and easy to use - saves us a lot of time,2025-09-30,Positive
Citizen Services Case Management Classic,Supervisor,3,"It's fine, no major issues",2025-07-15,Neutral
Permit System Tool,Support Staff,5,Very efficient and well-designed,2025-07-23,Positive
IT Asset Inventory,Executive,5,This application works great and has everything we need,2025-09-17,Positive
Citizen Services Case Management,Supervisor,3,It works but feels dated,2025-09-02,Neutral
Incident Reporting System,Director,3,"Gets the job done, nothing special",2025-06-11,Neutral
Citizen Services Service Request,Administrator,3,It works but feels dated,2025-10-14,Neutral
Email Archive Tool,Business Analyst,4,Very reliable and easy to use - saves us a lot of time,2025-07-06,Positive
Revenue Collection Platform v2,IT Staff,3,Works okay most of the time,2025-10-02,Neutral
Human Resources HR Management,Director,4,Very efficient and well-designed,2025-07-02,Positive
Compliance Tracking Tool,Executive,3,It works but feels dated,2025-06-03,Neutral
Integrated Backup System Pro,Executive,2,"System goes down frequently, can't count on it",2025-09-03,Negative
Payroll,Administrator,2,Data integrity issues - can't trust the information,2025-05-29,Negative
Benefits Administration,Director,3,Works okay most of the time,2025-09-12,Neutral
Public Safety Investigation Management,End User,2,Outdated - doesn't integrate with anything modern,2025-07-27,Negative
Complaint Tracking Platform,Team Lead,3,Not great but not terrible either,2025-07-26,Neutral
Budget Management (Old),Support Staff,3,Not great but not terrible either,2025-08-04,Neutral
Budget Management (Old),Administrator,5,Best application we have - couldn't do without it,2025-06-26,Positive
Backup System Tool,Supervisor,4,Very efficient and well-designed,2025-11-10,Positive
